1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
1   17  89
2   18  89
3   19  90
4   20  90
5   21  91
6   22  91
7   23  92
8   24  92
9   25  93
10  26  93
11  27  94
12  28  94
13  29  95
14  30  95
15  31  96
16  32  96
22  33  97
26  34  97
24  35  98
28  36  98
21  37  99
25  38  99
23  39  100
27  40  100
33  41  101
39  42  101
30  43  102
31  44  102
18  45  103
19  46  103
34  47  104
40  48  104
17  49  105
37  50  105
46  51  106
42  52  106
47  53  107
43  54  107
36  55  108
32  56  108
45  57  109
41  58  109
20  59  110
35  60  110
38  61  111
29  62  111
48  63  112
44  64  112
49  65  113
57  66  113
51  67  114
59  68  114
50  69  115
58  70  115
52  71  116
60  72  116
61  73  117
53  74  117
63  75  118
55  76  118
62  77  119
54  78  119
64  79  120
56  80  120
70  81  121
74  82  121
72  83  122
76  84  122
69  85  123
73  86  123
71  87  124
75  88  124
65
66
67
68
85
81
87
83
86
82
88
84
77
78
79
80
